participant_id,trial_slot,trial_name,condition,is_empty,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
25,1,DJ_t1,nonfatigued,False,44.16801351,40.36302539,31.62161997,999.9268496,82.24781266,-8.28057033,90.52838299,2.696,43.45825727,40.08980328,31.16674406,971.3659355,81.31300201,-8.77074744,90.08374945,2.716,50.13051556,54.37668133,33.34169824,1111.668842,93.63997628,5.02723828,88.612738,1.744,50.35686766,53.81082956,33.05809457,1092.837616,92.58822976,4.89679346,87.6914363,1.736,7.780308727,19.38819973,23.43834668,549.3560949,35.02199587,-37.28929047,72.31128634,1.716,5.737226631,18.2512752,23.51998742,553.1898084,32.02093107,-39.27639492,71.29732599,1.744,0.44463354,0.4923628706,-0.4923628706,0.9213017,1.045127495,-1.045127495,1.01396035,1.412116354,-1.412116354
25,2,DJ_t2,nonfatigued,False,43.75989177,44.68862221,33.00616594,1089.40699,90.06295754,-11.01622079,101.0791783,2.928,42.38938028,42.71890382,32.78764547,1075.029695,87.22641775,-12.97906161,100.2054794,2.94,49.75991808,65.25150833,31.4719089,990.4810498,94.19320894,5.41886472,88.77434422,2.872,49.63448531,63.71997489,31.63235432,1000.60584,95.03742969,3.93382717,91.10360252,2.884,8.305271512,21.14018328,20.01709186,400.6839667,30.65711099,-37.20965502,67.86676601,1.236,5.265210669,18.22328318,20.94343705,438.6275555,30.53925049,-39.17409766,69.71334815,2.012,0.87369897,0.8681227671,-0.8681227671,2.3292583,2.589820867,2.589820867,1.84658214,2.684373612,2.684373612
25,3,DJ_t3,nonfatigued,False,35.48115134,30.37546807,36.69221641,1346.318745,84.82045446,-10.99566753,95.81612199,2.94,34.8406925,29.67810588,36.99611887,1368.712812,85.01361922,-11.57435595,96.58797517,2.94,46.52882736,34.14847533,36.20144142,1310.544361,98.65169053,3.04938496,95.60230557,2.916,45.10376321,34.94379488,35.9621505,1293.276269,98.78737202,3.8448593,94.94251272,2.94,9.692461861,4.07026154,19.63874635,385.6803583,34.23535469,-36.8923896,71.12774429,2.888,5.822830419,2.5709533,19.32608441,373.4975386,30.23242547,-39.15487246,69.38729793,2.86,0.77185318,0.8023250974,0.8023250974,0.65979285,0.6925329756,-0.6925329756,1.74044636,2.477238497,-2.477238497
25,4,f_DJ_t1,fatigued,False,31.27462908,28.83956873,38.6829463,1496.370335,90.27673956,-12.18754717,102.4642867,2.624,31.55650313,27.80106337,37.90147561,1436.521853,89.13034654,-12.67180466,101.8021512,2.648,41.13934026,25.32771947,35.61729747,1268.591879,98.1799186,4.4268537,93.7530649,2.628,41.28949216,28.08556878,34.950395,1221.53011,100.055644,3.60288258,96.45276137,2.632,5.322579602,5.55568186,20.00664683,400.2659172,34.48606623,-37.50807898,71.99414521,1.728,1.205791341,1.24855613,19.94348117,397.7424412,28.3257918,-39.24561865,67.57141045,2.612,0.66213553,0.6483057488,-0.6483057488,2.69969647,2.838710594,2.838710594,4.42273476,6.337859996,-6.337859996
25,5,f_DJ_t2,fatigued,False,32.54056193,27.53567358,40.03811064,1603.050304,85.79658691,-12.44122167,98.23780858,3.592,31.34920876,26.69731704,40.05856459,1604.688597,85.11286954,-14.32198368,99.43485322,3.608,41.10473522,19.02302298,36.70893662,1347.546028,88.49264996,1.18083711,87.31181285,3.892,41.06858421,22.03841992,36.97576944,1367.207526,89.9709571,1.09649578,88.87446132,3.476,7.612669396,4.97851089,19.99923006,399.9692031,33.85219137,-37.46096125,71.31315262,2.576,5.186786581,2.27316724,19.93094246,397.2424673,31.05070205,-39.11920316,70.16990521,2.58,1.19704464,1.211138282,1.211138282,1.56264847,1.773859487,1.773859487,1.14324741,1.616090898,-1.616090898
25,6,f_DJ_t3,fatigued,False,37.56764937,37.38688398,39.32980136,1546.833275,88.84139912,-12.32747599,101.1688751,2.88,36.9535086,35.10177319,39.21036135,1537.452437,88.70768334,-13.30642292,102.0141063,2.948,45.82732075,44.10952293,37.16471184,1381.215806,98.04304916,1.69505228,96.34799688,2.916,46.62238402,43.57591423,35.62608837,1269.218173,98.89073373,4.50918327,94.38155046,2.892,8.457235398,6.85257519,18.90451564,357.3807115,32.81178664,-37.697028,70.50881464,2.016,6.219020103,5.24990424,17.6339104,310.9547962,28.63114539,-39.14532664,67.77647203,2.796,0.84523115,0.831990105,0.831990105,1.96644642,2.062025992,-2.062025992,2.73234261,3.9517474,-3.9517474
26,1,DJ_t1,nonfatigued,False,34.19134605,33.0177785,37.39037299,1398.039993,95.6953228,-15.97020431,111.6655271,3.028,34.5752113,33.56977398,36.04402119,1299.171463,93.02368107,-14.03730218,107.0609832,3.028,40.945089,30.6652493,31.12765998,968.931216,93.85285564,4.31875464,89.534101,1.944,42.42573741,33.85485717,30.259027,915.608715,93.57368506,0.20967249,93.36401257,1.94,7.781582281,10.0285025,15.6017094,243.4133361,31.19388353,-30.22879978,61.42268331,1.96,8.919904852,9.816674535,17.72719535,314.2534548,31.39198591,-38.67864601,70.07063192,1.98,4.60454386,4.210320781,-4.210320781,3.82991157,4.188027416,4.188027416,8.64794861,13.1534422,13.1534422
26,2,DJ_t2,nonfatigued,False,40.58721434,33.88980446,41.02247342,1682.843325,104.0596684,-13.18426644,117.2439348,1.94,38.97713464,34.14542446,39.2584224,1541.223729,99.3274795,-12.26993461,111.5974141,1.94,45.71943335,44.93688647,35.74096988,1277.416928,109.155016,2.10968553,107.0453305,1.932,46.12998289,46.44490805,34.27198122,1174.568697,108.8388102,0.20615436,108.6326558,1.936,8.235117227,11.75225191,17.21376517,296.3137113,31.61075653,-31.10421716,62.71497369,1.944,8.133607814,11.34051946,19.31280101,372.9842829,33.91907262,-38.87294072,72.79201334,1.944,5.64652071,4.934878016,-4.934878016,1.58732532,1.471940041,1.471940041,10.07703965,14.87309233,14.87309233
26,3,DJ_t3,nonfatigued,False,48.99929219,62.6849178,39.02243273,1522.750256,106.5167714,-8.6368837,115.1536551,1.568,48.31552883,61.35584343,37.06181533,1373.578156,102.0333262,-5.50060013,107.5339263,1.568,50.27949244,59.45409184,31.61979216,999.8112563,101.5512263,5.45524675,96.09597952,1.568,51.2550584,59.46087816,31.5033483,992.460954,101.9052078,0.35515134,101.5500565,1.56,8.843984997,14.72993874,16.38264821,268.3911625,29.46123176,-32.51144651,61.97267827,1.628,7.807389977,16.62227982,20.41369095,416.7187781,31.50549379,-39.29018562,70.79567941,1.624,7.61972876,6.843424957,-6.843424957,5.45407697,5.519035018,5.519035018,8.82300114,13.29081913,13.29081913
26,4,f_DJ_t1,fatigued,False,47.1764856,35.93990214,37.84017082,1431.878528,103.533543,0.62246078,102.9110822,1.744,45.51875287,31.3708553,35.01283669,1225.898733,101.2472123,5.14902531,96.09818695,1.744,46.2488295,32.64982771,35.52607707,1262.102152,105.4942987,1.96631041,103.5279883,1.752,45.85999522,30.98531065,33.13117552,1097.674792,106.9193202,0.21181181,106.7075084,1.748,6.36124623,6.2479119,19.13529186,366.1593946,32.00849445,-28.42517556,60.43367001,1.764,6.245093523,9.83701365,20.75866176,430.922038,34.97471301,-38.51524403,73.48995704,1.764,6.81289525,6.846811989,-6.846811989,3.17952008,3.0247224,3.0247224,13.05628703,19.49810846,19.49810846
