feature,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
hip_flexion_left_std,-0.1453205144,-0.1271155144,0.98736553,0.9698873042,0.6243936081,-0.7110273983,0.89102739,0.05898654043,-0.1420011632,-0.1181415111,1,0.9870885937,0.6488406773,-0.701754436,0.8996411245,0.1311629949,-0.04063420223,-0.1116084212,0.6669163609,0.647961955,0.419676375,-0.5130076996,0.5303258421,0.04074222162,-0.01992672811,-0.1015661155,0.6916234802,0.6803395243,0.4327708481,-0.5554141019,0.547989639,0.02707166522,-0.2448700127,-0.1863394552,0.1594145793,0.1164888219,-0.1070285407,-0.3731860835,0.2822835592,-0.01373466977,-0.2237779887,-0.1851784096,0.07122433835,0.03766409288,-0.2074688184,-0.3491047351,0.1699102325,0.008939156093,0.03691644148,-0.2657051332,0.1670194146,-0.2270826683,-0.3068124756,0.1395687414,0.03975109684,0.02228835873,-0.2057846446
hip_flexion_left_variance,-0.1133899571,-0.1064987877,0.9796889333,0.9852488809,0.6473268678,-0.6871292662,0.8880987689,0.03980434532,-0.1237780673,-0.1064501233,0.9870885937,1,0.6573365732,-0.6864081598,0.8939655621,0.1084796599,-0.01376618876,-0.09809045838,0.650585472,0.6381830852,0.4236215669,-0.4404667146,0.5103894163,0.02447275959,-0.0008254322374,-0.09217345063,0.6773673261,0.6729278088,0.4285520633,-0.4932183097,0.5255995016,0.01243019137,-0.2332494618,-0.1756489873,0.142490103,0.1012754101,-0.1220400016,-0.3537483054,0.2549594739,-0.02923874967,-0.2395707503,-0.1879192796,0.05844364443,0.026149449,-0.2528197606,-0.3516251883,0.1369205303,-0.01011940661,0.06283895972,-0.2221063354,0.1348643008,-0.2140659575,-0.2870140983,0.1239592077,0.03838740189,0.0222261646,-0.2066996372
hip_flexion_left_maximum,0.4079025149,0.2056841138,0.6374624219,0.6430192162,0.9723844645,-0.1373861318,0.6961575402,-0.1646029587,0.4197055094,0.2099756638,0.6488406773,0.6573365732,1,-0.1287751585,0.7086841799,-0.1123185898,0.2184945527,0.07753807505,0.408903284,0.395215474,0.4643653963,-0.3323779915,0.5110119301,-0.1252268896,0.240375528,0.08123978604,0.4230964743,0.4148955105,0.4882155474,-0.3851260589,0.5457036992,-0.1165909602,0.1281252526,0.1086922458,0.1336673771,0.1030216238,0.1397341067,-0.1804100944,0.2538554079,-0.1211242241,0.08736098193,0.1034903551,0.06592749223,0.03484056906,-0.04660281776,-0.1834303786,0.1379697507,-0.1042457296,0.111078005,-0.1136662779,0.1517260351,-0.1682937654,-0.2472741338,0.2015074295,0.03329693217,0.01380351011,-0.1978207309
hip_flexion_left_minimum,0.5104211147,0.344736262,-0.6903370645,-0.6725509675,-0.1295837147,0.9825642805,-0.7802004447,-0.0599615396,0.5279969604,0.3445707331,-0.701754436,-0.6864081598,-0.1287751585,1,-0.7909124357,-0.1304141512,0.2428714481,0.2739577335,-0.4160598751,-0.4026432604,-0.2269426563,0.4013688669,-0.3267082969,-0.05920908658,0.2321435268,0.2637195744,-0.4509231681,-0.4451060424,-0.2404510408,0.4421557463,-0.3445687784,-0.04068745643,0.4903199941,0.3717545774,-0.03441174303,-0.01120284776,0.2888634804,0.3735224,-0.1711168399,0.03099501612,0.4490347963,0.3727366383,0.02402686782,0.03435369608,0.3127274254,0.3816725594,-0.118734423,0.002619342071,0.1005586954,0.3415649682,-0.1654578363,0.1368515314,0.1865957248,-0.1114335325,-0.05874015025,-0.05102606557,0.1096168086
hip_flexion_left_rom,-0.1114356097,-0.1183415354,0.8844970934,0.8752720986,0.6922187869,-0.7838213503,0.9846491813,-0.05891147123,-0.1166566965,-0.1155755953,0.8996411245,0.8939655621,0.7086841799,-0.7909124357,1,0.02347497191,-0.0379649618,-0.1470608972,0.5483263828,0.5303348408,0.4480028771,-0.4906532275,0.5477651376,-0.03514912458,-0.01683055616,-0.1374927596,0.5818880074,0.5726888707,0.4723305556,-0.5522201331,0.5818791199,-0.04299738096,-0.2697760368,-0.1974141988,0.1069639661,0.07154152103,-0.1192864552,-0.3770674742,0.2783868273,-0.09679316957,-0.2655579954,-0.2013228014,0.02358778672,-0.002941949498,-0.2512468433,-0.3847296192,0.1696101493,-0.06619014543,-0.002999846402,-0.3131459577,0.2113400504,-0.2012115107,-0.2853381843,0.203622949,0.06233709441,0.04482016211,-0.2000555011
hip_flexion_left_time_to_peak,-0.3187772917,-0.3731309191,0.11377754,0.09776053456,-0.1571807264,-0.1343360049,-0.0009284866876,0.9094997345,-0.2932633642,-0.3521207235,0.1311629949,0.1084796599,-0.1123185898,-0.1304141512,0.02347497191,1,-0.3703710626,-0.3424284606,0.1220430965,0.1183994208,-0.1743992036,-0.1988631989,-0.08764410451,0.7699342616,-0.3389199053,-0.3306254537,0.1288536738,0.1292466404,-0.1450830181,-0.1687321264,-0.07714428081,0.7576436642,-0.1433852324,-0.307220217,-0.1222611047,-0.1286282641,0.05526976259,0.0008848368447,0.03306016942,0.5996193046,-0.02343230585,-0.2548939826,-0.145816269,-0.140238397,0.08682830443,0.1216747909,-0.04789144265,0.6299783088,-0.01859749421,-0.08523753382,0.1742626194,-0.003550646864,0.001247080016,0.03795986439,-0.1224998495,-0.1224589024,-0.11844062
knee_flexion_right_mean,0.796607457,0.7255099056,-0.03179639502,-0.008245417442,0.2390858984,0.255149534,-0.03481243892,-0.3977622178,0.7816468668,0.7115504772,-0.04063420223,-0.01376618876,0.2184945527,0.2428714481,-0.0379649618,-0.3703710626,1,0.810085088,0.1804021462,0.1859965798,0.3288280345,0.2529531796,0.2045535105,-0.4306734182,0.9837597007,0.8062604076,0.18382655,0.1848367623,0.3013521425,0.2266810691,0.1974042318,-0.4340702481,0.6678119671,0.7115624319,0.3761328441,0.3656228588,0.2278720552,0.03342024194,0.1085490294,-0.3905158654,0.5731587018,0.6781183652,0.3607763505,0.3441004826,0.1110150497,0.02781275257,0.06018648694,-0.3735119006,-0.02568253586,0.04407173916,-0.03344225237,0.002179229089,-0.02910054865,-0.002440467193,-0.0400308761,-0.04924972031,-0.0790880625
knee_flexion_right_median,0.6971316404,0.9159779774,-0.1166058074,-0.1066863238,0.0738773139,0.2782745954,-0.1529353012,-0.3548524167,0.7019082093,0.9135307209,-0.1116084212,-0.09809045838,0.07753807505,0.2739577335,-0.1470608972,-0.3424284606,0.810085088,1,0.03881193135,0.04784515598,0.1713245196,0.1852692576,0.08934864461,-0.4020167259,0.8039154135,0.988076533,0.04574807806,0.05200168376,0.1643523991,0.2219192895,0.07814981271,-0.403333747,0.5844408469,0.8832276523,0.314480624,0.31281533,0.1880603331,-0.02682551395,0.1403049146,-0.335985788,0.5079027649,0.8495243215,0.3300619204,0.3169680618,0.1501861482,-0.00922885495,0.1259540174,-0.3328594124,-0.01159544258,0.05672048092,0.005134601111,0.03981266655,0.0221052047,-0.03296766199,0.0388236374,0.02730786842,-0.03901389941
knee_flexion_right_std,-0.07559817611,-0.08702190581,0.6748032701,0.6547457286,0.3773156871,-0.453064651,0.5551200861,0.06692179847,-0.05333453612,-0.06108593578,0.6669163609,0.650585472,0.408903284,-0.4160598751,0.5483263828,0.1220430965,0.1804021462,0.03881193135,1,0.9946143713,0.7062607685,-0.4581295493,0.761940253,0.07618004198,0.2172988935,0.060425281,0.9755519779,0.9711304933,0.6787267023,-0.4237643944,0.7251272532,0.05853486434,-0.05502943176,-0.01881379258,0.5656502188,0.5345077948,0.2485956806,-0.3553778892,0.4837097727,0.07049120147,0.02791175491,0.005153547698,0.4662655441,0.4499317192,0.1445642643,-0.2792186395,0.3781649866,0.1097787639,-0.07349113804,-0.2540146011,0.04403793784,-0.224619332,-0.3377384912,-0.03230994951,-0.232883343,-0.2524453396,-0.2469515986
knee_flexion_right_variance,-0.07348903488,-0.07962928116,0.6576427045,0.6442674153,0.3666825152,-0.4387245676,0.5383553368,0.0635496213,-0.05332305952,-0.05415064024,0.647961955,0.6381830852,0.395215474,-0.4026432604,0.5303348408,0.1183994208,0.1859965798,0.04784515598,0.9946143713,1,0.7149050874,-0.4515760975,0.7673486156,0.07525066667,0.222801837,0.06961275495,0.966576586,0.9720324985,0.6830007375,-0.4154633352,0.7263999578,0.05877008571,-0.03702541536,-0.006003161302,0.5566675449,0.5308128835,0.2628647242,-0.3411372577,0.4791821393,0.07749956082,0.04270358199,0.01508408896,0.4621586082,0.4496804315,0.166117754,-0.2745054751,0.3905027489,0.1135173285,-0.07346775778,-0.2458983084,0.03395409398,-0.211811799,-0.3255455074,-0.04553936483,-0.2382057241,-0.2565156868,-0.224116456
