source_row,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
91,5.370556928,0.5767650281,-0.8035711922,1.722743957,0.5794395279,3.053962354,-0.4084802914,-0.6001543035,-2.053355174,-0.7387775492
92,5.304528653,-0.9559541712,-1.132314952,1.067006811,0.5518959825,0.2199815375,-1.639974686,1.269801427,-1.291924665,-0.952768056
93,5.464831717,0.6864618139,-0.4653938096,2.145629469,1.217730796,0.5838647387,-0.2309201743,1.03457962,-2.255739044,-1.743370465
94,6.225036056,0.955231757,-0.6941574844,2.064430298,0.3236051802,3.359854624,-0.2982015234,-1.578120801,-1.677186234,0.5858398724
95,6.595702122,3.187615119,1.295715592,0.3541982299,-0.4021320236,-0.8068115888,-1.434885644,5.04217333,-1.068726368,-2.593913202
96,6.184322598,0.2217320508,0.4153259755,1.780568707,-2.608888607,0.8368220619,4.768781447,-0.09503496898,1.073940849,0.2698731513
97,4.930575483,0.9041820201,-0.08052476125,0.4077667434,-0.3633733778,-0.1157267898,3.699925185,1.269522492,2.230227692,-0.6282231061
98,1.938131908,-1.048417471,-0.5499059662,-0.8246992931,-0.9405831311,-0.5041831713,4.257670767,-0.6350848092,0.9485395153,0.4471136496
99,0.517032773,-0.8307337288,-0.9826150928,0.7397835412,-1.619063979,-1.152281739,3.073528469,0.4519141723,2.17569218,-1.350629409
100,0.07381072868,-0.2163596459,-0.03714071661,-0.7196142306,-1.337791826,-1.503343965,3.135575663,0.5192643726,2.028613815,-1.027346365
101,-1.325933699,-0.6717692528,-1.288628326,-1.539980004,-0.4069774996,-1.687960267,3.260109417,-1.686107666,1.190486395,-1.025550181
102,1.494473115,2.893058919,-2.057902617,1.197306239,3.215131133,0.2145609713,-0.4179795057,-1.566434995,-0.839806517,-2.676417041
103,0.59006176,2.484439255,-1.661410393,1.721417233,3.406652942,-2.790097781,-0.4331993299,-1.351835163,1.156007983,-1.505486552
104,-1.774182008,0.4692424427,-1.756857938,0.0617066399,2.921473297,-2.472855953,1.593775754,-1.996500831,-1.506574287,-1.875930836
105,0.1963225661,2.985517719,-1.76333498,1.750607852,2.116379034,-0.5061711562,1.037936953,-1.307000117,-0.8021688249,-3.299459804
106,-0.150335601,3.095038189,-1.793251908,0.4516136992,3.123461731,-1.060205643,0.8892528473,-1.596908427,-0.2959919846,-2.062180001
107,2.251054258,3.391060655,0.398264325,0.5836681939,2.378105095,0.7363694911,2.428519893,-3.055943697,0.5922263563,-2.323395151
108,-2.557166793,-5.541268586,-7.130610175,2.180250342,0.1728595848,-0.779931777,-1.176257789,2.094003115,-0.3769680691,-0.03048566728
109,-2.808084647,-6.640482995,-7.107655837,3.562088013,0.4854515223,-1.032529717,-2.91148695,2.926144517,1.314980711,-0.09783815006
110,-3.908869573,-3.785131363,-7.65835986,4.176898552,-1.262445105,-2.321307096,-3.147692647,1.839641825,1.673797933,-1.128733707
111,-2.36357702,-1.956975149,-6.873282957,4.060123515,-2.437977094,-0.8931936642,0.2177182847,0.3447706076,-1.418076129,-1.083286048
112,-4.31121902,-5.398636441,-7.429364123,3.974027885,-1.389619507,-0.5109584572,-2.238533245,1.830780172,-0.4815016601,-0.9317484306
113,-2.356663454,-4.584647182,-6.233204798,4.153134956,-3.004075054,0.4752105926,0.02299885219,0.8410861068,-1.67730731,-0.6155261779
114,-4.704068192,0.1883884086,-2.227410755,2.235935672,-0.6823492665,-0.2686151696,0.01915230858,0.5104571529,1.038220264,-2.509502472
115,-3.024741608,-1.122031553,-1.893475142,1.045851757,-0.05914043911,0.1817733174,0.835494859,1.011103195,0.5908106351,-0.5269304417
116,-2.819957879,-3.604619125,0.5920774425,1.544837224,0.6321027873,-0.4042844237,1.990090248,1.124862473,1.132627774,-0.1008009057
117,-0.4281836633,3.587770935,-2.006111295,0.3383306238,0.1263032088,0.7762900216,1.011551475,1.967141905,0.3292025148,-0.6521901321
118,-1.168663963,-0.8298857417,-0.08061445685,1.808199019,-0.9834175286,0.02850129305,1.690559904,1.942220445,2.190601062,1.434517745
119,0.03008970238,7.710891478,-2.812662098,0.2398937261,-0.8923439624,-0.4319379856,1.92105259,1.597158712,3.310812902,0.3607256008
120,-0.3054532879,0.4013430183,1.013609565,2.006473956,-1.095719384,-0.01600132295,1.567363623,-1.259077629,-0.6015560005,0.2647505164
121,0.08658710993,0.1339595499,-0.5585237071,3.511774563,-1.143153741,-0.03947213526,-1.246849983,0.280456484,3.347111408,1.805455535
122,-1.934608872,0.6406110381,0.5440616221,1.202535177,-1.037329345,-0.5255381885,0.8671395235,0.5832929306,0.005076930449,-0.08150830254
123,-3.468744235,0.9991225935,0.9392000188,1.879497445,-1.603858307,0.302755081,0.3806404721,1.043624089,-1.407009369,-0.5855067536
124,-1.275659245,2.251685169,0.3395438022,1.514846981,-1.109253801,0.09425170096,0.8949221808,0.6979651821,0.9199002589,-0.3598078658
125,-3.982519747,-1.172678372,0.8124590415,0.9986511587,-0.8346690082,0.4849748694,0.742490674,0.1633392561,-1.057580749,0.9541814221
