feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ankle_angle_right_time_to_peak,0.007839379077,0.1283714202,-0.2193421564,-0.1618533594,0.1731600544,-0.05078360577,-0.00938080405,0.07397180197,0.009974523259,0.04936755838
ankle_angle_left_mean,0.03640718592,-0.178544584,-0.1071428041,-0.271910569,-0.04277984751,-0.03200408609,0.03034227154,0.0791688615,-0.004614911798,0.1050102515
ankle_angle_left_median,0.0110421628,-0.2419925501,-0.04319764143,-0.1091333944,0.03424885986,0.08948867813,0.02325406884,0.1709035874,-0.006711711594,0.1558490722
ankle_angle_left_std,-0.1185621669,-0.1266155165,-0.1604112951,0.234831828,0.01658453346,-0.01084113272,-0.03866202485,0.08613229626,-0.09331944612,-0.2689329221
ankle_angle_left_variance,-0.1130487681,-0.124045813,-0.1718316041,0.2363306929,0.003680983509,-0.01123070484,-0.04521957338,0.0988281698,-0.08562590506,-0.2676664426
ankle_angle_left_maximum,-0.01466867944,-0.09427065263,-0.2498050892,-0.110664593,-0.1965949645,-0.1406409657,0.1560880291,0.1792053584,0.06258769907,0.06021948288
ankle_angle_left_minimum,0.1281461453,-0.02453046488,-0.04400664572,-0.2984898075,-0.1962467726,-0.02652647411,-0.1798121374,-0.04726360175,0.04066553141,-0.05732863456
ankle_angle_left_rom,-0.1332349547,-0.05024112482,-0.1530869745,0.1973375887,0.0331188393,-0.08452462248,0.292680789,0.1847443999,0.01018574103,0.1014712878
ankle_angle_left_time_to_peak,-0.0009833800605,0.1252978918,-0.2367035372,-0.173591537,0.1723800133,-0.009083756386,-0.007184077503,0.04578898056,-0.02115823059,-0.008376737141
hip_flexion_rom_absolute_difference,0.02005316788,0.008621458963,0.08889576258,0.01378266274,0.2248368359,-0.4748484503,0.07321179914,0.04561849664,-0.1844376252,0.06045325127
hip_flexion_rom_percent_difference,0.08851149657,-0.02075091088,0.04462838418,0.05672174931,0.2053662944,-0.4713324661,0.02563631773,-0.02151856344,-0.1959990419,0.07750488065
hip_flexion_rom_symmetry_index,-0.03721935522,0.005887055584,-0.0636608991,-0.121580727,-0.08293157653,0.3081610144,0.0428612333,0.149356527,0.2224749396,-0.2368584133
knee_flexion_rom_absolute_difference,0.06714284633,-0.01271774494,-0.02933359134,0.1129781769,0.1312316037,-0.1631508315,-0.251835418,0.271680938,0.5075902948,-0.02839455647
knee_flexion_rom_percent_difference,0.1007456474,-0.002507879514,-0.01366352812,0.1188457322,0.1577956391,-0.1509419302,-0.2460969179,0.245273614,0.4707508621,-0.01773200518
knee_flexion_rom_symmetry_index,-0.02888990878,-0.00220750961,0.05288264763,-0.1247002603,-0.1729882225,0.08839171844,0.2693146532,0.1334090065,-0.1337660165,-0.3027178195
ankle_angle_rom_absolute_difference,0.05457197635,0.01529310056,0.2443245219,-0.03368866924,0.006974825555,-0.01209952657,-0.07693643796,0.3294419781,-0.09438584149,-0.2421654737
ankle_angle_rom_percent_difference,0.06183669544,0.01827819056,0.2446302214,-0.0421459334,-0.005448352324,-0.01580099347,-0.08674757308,0.3339852364,-0.0962601613,-0.241722249
ankle_angle_rom_symmetry_index,0.07237948944,0.01264784002,0.04454037399,-0.01499552042,-0.1529044401,-0.2269653349,0.1131124665,0.3875660616,-0.1778612623,-0.04733061186
